datetimestamp_utc,alert_motors_stuck,alert_thermal_throttle,alert_thermal_shutdown,alert_mast_not_near_vertical,alert_unexpected_location,alert_slow_ethernet_speeds,alert_slow_ethernet_speeds_100,alert_roaming,alert_install_pending,alert_is_heating,alert_power_supply_thermal_throttle,alert_is_power_save_idle,alert_moving_while_not_mobile,alert_moving_too_fast_for_policy,alert_dbf_telem_stale,alert_low_motor_current,alert_lower_signal_than_predicted,alert_obstruction_map_reset
2024-10-04T00:12:49,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2024-10-04T00:13:49,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2024-10-04T00:14:49,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
datetimestamp_utc,alert_motors_stuck,alert_thermal_throttle,alert_thermal_shutdown,alert_mast_not_near_vertical,alert_unexpected_location,alert_slow_ethernet_speeds,alert_slow_ethernet_speeds_100,alert_roaming,alert_install_pending,alert_is_heating,alert_power_supply_thermal_throttle,alert_is_power_save_idle,alert_moving_while_not_mobile,alert_moving_too_fast_for_policy,alert_dbf_telem_stale,alert_low_motor_current,alert_lower_signal_than_predicted,alert_obstruction_map_reset
2024-10-04T02:22:23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2024-10-04T02:23:23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2024-10-04T02:24:23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2024-10-04T02:25:23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2024-10-04T02:26:23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2024-10-04T02:27:23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
