datetimestamp_utc,samples,end_counter,total_ping_drop,count_full_ping_drop,count_obstructed,total_obstructed_ping_drop,count_full_obstructed_ping_drop,count_unscheduled,total_unscheduled_ping_drop,count_full_unscheduled_ping_drop
2024-10-04T00:12:49,60,57135,0.12916667014360428,0,0,0.0,0,0,0.0,0
2024-10-04T00:13:49,59,57194,0.0,0,0,0.0,0,0,0.0,0
2024-10-04T00:14:49,60,57254,0.0,0,0,0.0,0,0,0.0,0
datetimestamp_utc,samples,end_counter,total_ping_drop,count_full_ping_drop,count_obstructed,total_obstructed_ping_drop,count_full_obstructed_ping_drop,count_unscheduled,total_unscheduled_ping_drop,count_full_unscheduled_ping_drop
2024-10-04T02:22:23,60,64909,0.0,0,0,0.0,0,0,0.0,0
2024-10-04T02:23:23,60,64969,0.20000001043081284,0,0,0.0,0,0,0.0,0
2024-10-04T02:24:23,60,65029,0.32083334028720856,0,0,0.0,0,0,0.0,0
2024-10-04T02:25:23,60,65089,0.125,0,0,0.0,0,0,0.0,0
2024-10-04T02:26:23,60,65149,0.0,0,0,0.0,0,0,0.0,0
2024-10-04T02:27:23,60,65209,0.125,0,0,0.0,0,0,0.0,0
