datetimestamp_utc,id,hardware_version,software_version,state,uptime,snr,seconds_to_first_nonempty_slot,pop_ping_drop_rate,downlink_throughput_bps,uplink_throughput_bps,pop_ping_latency_ms,alerts,fraction_obstructed,currently_obstructed,seconds_obstructed,obstruction_duration,obstruction_interval,direction_azimuth,direction_elevation,is_snr_above_noise_floor
2024-10-04T00:12:48,ut01000000-00000000-004cecc0,rev3_proto2,4595b54b-04ca-4e03-a41c-c267c2eeb1db.uterm_manifest.release,CONNECTED,57163,,0.0,0.0,5271300.5,554528.9375,27.598798751831055,64,0.0035041612572968006,False,,,,31.99704933166504,68.8665771484375,True
2024-10-04T00:13:48,ut01000000-00000000-004cecc0,rev3_proto2,4595b54b-04ca-4e03-a41c-c267c2eeb1db.uterm_manifest.release,CONNECTED,57223,,0.0,0.0,191738.40625,301100.6875,24.211469650268555,64,0.0035041612572968006,False,,,,31.51827621459961,69.05561828613281,True
2024-10-04T00:14:48,ut01000000-00000000-004cecc0,rev3_proto2,4595b54b-04ca-4e03-a41c-c267c2eeb1db.uterm_manifest.release,CONNECTED,57283,,0.0,0.0,562959.5,520706.0625,21.444883346557617,64,0.0035041612572968006,False,,,,31.769363403320312,68.80512237548828,True
datetimestamp_utc,id,hardware_version,software_version,state,uptime,snr,seconds_to_first_nonempty_slot,pop_ping_drop_rate,downlink_throughput_bps,uplink_throughput_bps,pop_ping_latency_ms,alerts,fraction_obstructed,currently_obstructed,seconds_obstructed,obstruction_duration,obstruction_interval,direction_azimuth,direction_elevation,is_snr_above_noise_floor
2024-10-04T02:22:22,ut01000000-00000000-004cecc0,rev3_proto2,4595b54b-04ca-4e03-a41c-c267c2eeb1db.uterm_manifest.release,CONNECTED,64937,,0.0,0.0,4335954.0,541778.25,25.572689056396484,64,0.0034957395400851965,False,,,,32.08295822143555,68.67051696777344,True
2024-10-04T02:23:22,ut01000000-00000000-004cecc0,rev3_proto2,4595b54b-04ca-4e03-a41c-c267c2eeb1db.uterm_manifest.release,CONNECTED,64997,,0.0,0.06666667014360428,33889.9765625,292208.78125,39.595428466796875,64,0.0034957395400851965,False,,,,31.75297737121582,68.7271499633789,True
2024-10-04T02:24:22,ut01000000-00000000-004cecc0,rev3_proto2,4595b54b-04ca-4e03-a41c-c267c2eeb1db.uterm_manifest.release,CONNECTED,65057,,0.0,0.0,81897.9765625,275238.625,26.676498413085938,64,0.0034957395400851965,False,,,,31.926856994628906,68.88381958007812,True
2024-10-04T02:25:22,ut01000000-00000000-004cecc0,rev3_proto2,4595b54b-04ca-4e03-a41c-c267c2eeb1db.uterm_manifest.release,CONNECTED,65117,,0.0,0.0,56740.54296875,339143.03125,22.367414474487305,64,0.0034957395400851965,False,,,,31.608179092407227,68.88079833984375,True
2024-10-04T02:26:22,ut01000000-00000000-004cecc0,rev3_proto2,4595b54b-04ca-4e03-a41c-c267c2eeb1db.uterm_manifest.release,CONNECTED,65177,,0.0,0.0,57612.9609375,324630.75,28.952438354492188,64,0.0034957395400851965,False,,,,31.516300201416016,68.86620330810547,True
2024-10-04T02:27:22,ut01000000-00000000-004cecc0,rev3_proto2,4595b54b-04ca-4e03-a41c-c267c2eeb1db.uterm_manifest.release,CONNECTED,65237,,0.0,0.0,82753.6171875,307694.15625,24.399686813354492,64,0.0034957395400851965,False,,,,31.991779327392578,68.552490234375,True
