datetimestamp_utc,samples,end_counter,download_usage,upload_usage
2024-10-04T00:12:50,60,57135,9366260,3211886
2024-10-04T00:13:50,60,57195,8775932,3054875
2024-10-04T00:14:50,60,57255,4876408,2695702
datetimestamp_utc,samples,end_counter,download_usage,upload_usage
2024-10-04T02:22:24,60,64910,6321488,2992786
2024-10-04T02:23:24,59,64969,7917240,3184475
2024-10-04T02:24:24,60,65029,8142549,2972610
2024-10-04T02:25:24,60,65089,8402672,3104035
2024-10-04T02:26:24,60,65149,6944996,2882892
2024-10-04T02:27:24,60,65209,11765090,3338622
