datetimestamp_utc,samples,end_counter,load_bucket_samples_0,load_bucket_samples_1,load_bucket_samples_2,load_bucket_samples_3,load_bucket_samples_4,load_bucket_samples_5,load_bucket_samples_6,load_bucket_samples_7,load_bucket_samples_8,load_bucket_samples_9,load_bucket_samples_10,load_bucket_samples_11,load_bucket_samples_12,load_bucket_samples_13,load_bucket_samples_14,load_bucket_min_latency_0,load_bucket_min_latency_1,load_bucket_min_latency_2,load_bucket_min_latency_3,load_bucket_min_latency_4,load_bucket_min_latency_5,load_bucket_min_latency_6,load_bucket_min_latency_7,load_bucket_min_latency_8,load_bucket_min_latency_9,load_bucket_min_latency_10,load_bucket_min_latency_11,load_bucket_min_latency_12,load_bucket_min_latency_13,load_bucket_min_latency_14,load_bucket_median_latency_0,load_bucket_median_latency_1,load_bucket_median_latency_2,load_bucket_median_latency_3,load_bucket_median_latency_4,load_bucket_median_latency_5,load_bucket_median_latency_6,load_bucket_median_latency_7,load_bucket_median_latency_8,load_bucket_median_latency_9,load_bucket_median_latency_10,load_bucket_median_latency_11,load_bucket_median_latency_12,load_bucket_median_latency_13,load_bucket_median_latency_14,load_bucket_max_latency_0,load_bucket_max_latency_1,load_bucket_max_latency_2,load_bucket_max_latency_3,load_bucket_max_latency_4,load_bucket_max_latency_5,load_bucket_max_latency_6,load_bucket_max_latency_7,load_bucket_max_latency_8,load_bucket_max_latency_9,load_bucket_max_latency_10,load_bucket_max_latency_11,load_bucket_max_latency_12,load_bucket_max_latency_13,load_bucket_max_latency_14
2024-10-04T00:12:50,60,57135,34,9,5,10,0,0,0,0,0,0,0,0,0,0,0,23.732563018798828,23.489810943603516,26.852813720703125,24.34873390197754,,,,,,,,,,,,29.508562088012695,30.437402725219727,28.94540023803711,28.987723350524902,,,,,,,,,,,,55.469932556152344,50.86528396606445,45.60078811645508,35.02393341064453,,,,,,,,,,,
2024-10-04T00:13:50,60,57195,31,14,8,7,0,0,0,0,0,0,0,0,0,0,0,23.12249755859375,25.288236618041992,22.133134841918945,28.149063110351562,,,,,,,,,,,,29.600465774536133,28.352249145507812,28.66321849822998,30.840864181518555,,,,,,,,,,,,47.27125930786133,44.76156997680664,40.110565185546875,32.76675033569336,,,,,,,,,,,
2024-10-04T00:14:50,60,57255,43,11,1,5,0,0,0,0,0,0,0,0,0,0,0,20.73070526123047,21.136703491210938,32.885868072509766,20.83162498474121,,,,,,,,,,,,26.119813919067383,24.81624984741211,32.885868072509766,26.6458740234375,,,,,,,,,,,,32.33466720581055,28.414501190185547,32.885868072509766,29.807336807250977,,,,,,,,,,,
datetimestamp_utc,samples,end_counter,load_bucket_samples_0,load_bucket_samples_1,load_bucket_samples_2,load_bucket_samples_3,load_bucket_samples_4,load_bucket_samples_5,load_bucket_samples_6,load_bucket_samples_7,load_bucket_samples_8,load_bucket_samples_9,load_bucket_samples_10,load_bucket_samples_11,load_bucket_samples_12,load_bucket_samples_13,load_bucket_samples_14,load_bucket_min_latency_0,load_bucket_min_latency_1,load_bucket_min_latency_2,load_bucket_min_latency_3,load_bucket_min_latency_4,load_bucket_min_latency_5,load_bucket_min_latency_6,load_bucket_min_latency_7,load_bucket_min_latency_8,load_bucket_min_latency_9,load_bucket_min_latency_10,load_bucket_min_latency_11,load_bucket_min_latency_12,load_bucket_min_latency_13,load_bucket_min_latency_14,load_bucket_median_latency_0,load_bucket_median_latency_1,load_bucket_median_latency_2,load_bucket_median_latency_3,load_bucket_median_latency_4,load_bucket_median_latency_5,load_bucket_median_latency_6,load_bucket_median_latency_7,load_bucket_median_latency_8,load_bucket_median_latency_9,load_bucket_median_latency_10,load_bucket_median_latency_11,load_bucket_median_latency_12,load_bucket_median_latency_13,load_bucket_median_latency_14,load_bucket_max_latency_0,load_bucket_max_latency_1,load_bucket_max_latency_2,load_bucket_max_latency_3,load_bucket_max_latency_4,load_bucket_max_latency_5,load_bucket_max_latency_6,load_bucket_max_latency_7,load_bucket_max_latency_8,load_bucket_max_latency_9,load_bucket_max_latency_10,load_bucket_max_latency_11,load_bucket_max_latency_12,load_bucket_max_latency_13,load_bucket_max_latency_14
2024-10-04T02:22:24,60,64909,40,5,12,3,0,0,0,0,0,0,0,0,0,0,0,22.63665008544922,22.103687286376953,22.885499954223633,23.72505760192871,,,,,,,,,,,,25.895686149597168,23.862375259399414,25.498455047607422,25.399938583374023,,,,,,,,,,,,29.46244239807129,26.144752502441406,29.16118621826172,26.39762306213379,,,,,,,,,,,
2024-10-04T02:23:24,60,64969,35,6,11,5,0,0,0,0,0,0,0,0,0,0,0,24.928375244140625,25.96112632751465,25.059587478637695,24.641185760498047,,,,,,,,,,,,28.57353401184082,27.56571674346924,28.07524871826172,27.62493896484375,,,,,,,,,,,,38.77693176269531,31.264623641967773,37.080875396728516,33.91837692260742,,,,,,,,,,,
2024-10-04T02:24:24,60,65029,38,5,5,7,0,0,0,0,0,0,0,0,0,0,0,24.746997833251953,28.896438598632812,25.727249145507812,24.743249893188477,,,,,,,,,,,,29.92643451690674,35.003273010253906,29.910375595092773,32.027732849121094,,,,,,,,,,,,37.136600494384766,40.90764236450195,35.450199127197266,37.79885482788086,,,,,,,,,,,
2024-10-04T02:25:24,60,65089,42,3,7,5,1,0,0,0,0,0,0,0,0,0,0,19.257625579833984,23.817623138427734,19.175060272216797,18.883352279663086,26.97693634033203,,,,,,,,,,,23.70204257965088,23.893686294555664,27.14649772644043,24.55587387084961,26.97693634033203,,,,,,,,,,,29.889867782592773,27.321866989135742,29.372800827026367,26.253311157226562,26.97693634033203,,,,,,,,,,
2024-10-04T02:26:24,60,65149,46,2,6,6,0,0,0,0,0,0,0,0,0,0,0,19.523469924926758,19.790752410888672,20.390823364257812,20.571062088012695,,,,,,,,,,,,22.686553955078125,22.4166259765625,22.89811611175537,22.22189998626709,,,,,,,,,,,,28.966562271118164,25.042499542236328,26.323251724243164,24.45811653137207,,,,,,,,,,,
2024-10-04T02:27:24,60,65209,38,2,5,10,2,1,0,0,0,0,0,0,0,0,0,21.085647583007812,24.908527374267578,22.084625244140625,21.94570541381836,27.173749923706055,28.464067459106445,,,,,,,,,,25.327037811279297,26.000389099121094,24.724124908447266,25.59518814086914,27.72309398651123,28.464067459106445,,,,,,,,,,30.005374908447266,27.09225082397461,27.964628219604492,27.618749618530273,28.272438049316406,28.464067459106445,,,,,,,,,
